Source: https://github.com/rffscghg/MimiIWG.jl/: MimiIWG/data/IWG_inputs/DICE/SCC_input_EMFscenarios.xls in IndustrialCO2 tab Units of GtC per decade,,,,,
Year,IMAGE,MERGE,MESSAGE,MiniCAM,Scen5
2000,72.63919091,67.51048743,73.06363636,72.34353673,71.38921286
2010,86.9685,86.01837406,79.5,86.76328886,84.69014073
2020,100.6585091,102.5507869,102.5454545,103.6641286,90.53545402
2030,109.1484545,122.9735213,114.7363636,123.1140571,88.36093818
2040,117.9455182,150.2550093,121.6636364,141.1008586,75.78774481
2050,123.6374455,181.2725622,118.6090909,157.6245331,54.42975561
2060,128.1006818,215.0637492,119.8636364,171.1377304,44.89424862
2070,136.9949727,252.6159659,116.4545455,184.857033,39.25798859
2080,146.6381727,282.7186677,114.1090909,198.782441,33.88760579
2090,154.2977182,305.7881443,114.2181818,209.1103993,33.29791574
2100,163.8539455,321.582331,116.3181818,219.4383576,35.02214969
2110,172.5818338,336.3480686,117.7061579,228.465406,36.56818683
2120,180.2909936,349.8733967,118.3559183,235.9931222,37.90521216
2130,186.8072647,361.9579568,118.2551303,241.8517505,39.00581114
2140,191.9792395,372.4179099,117.40571,245.9065611,39.84690303
2150,195.6841045,381.0905789,115.8237612,248.062999,40.41054517
2160,197.8324857,387.8386535,113.539068,248.2703494,40.68456935
2170,198.3720325,392.5538056,110.5941621,246.5237204,40.66301854
2180,197.2895375,395.1595819,107.043006,242.8642346,40.3463622
2190,194.6114744,395.6134663,102.9493495,237.3774199,39.74147929
2200,190.4029214,393.9080342,98.38482868,230.1898867,38.86140982
2210,184.5666451,390.0711541,93.52144476,221.030713,37.70845972
2220,177.2585835,384.1652301,88.42454381,210.1544358,36.30820279
2230,168.6691968,376.2855137,83.15971559,197.8536422,34.69096891
2240,159.0152313,366.5575479,77.79142188,184.4459352,32.89075368
2250,148.5306629,355.1338404,72.38173197,170.2604117,30.94403465
2260,137.4573476,342.1898888,66.98919807,155.624447,28.88855176
2270,126.0358938,327.9197025,61.66789635,140.8515123,26.76210806
2280,114.4972293,312.5309799,56.46665162,126.2306326,24.60144336
2290,103.055258,296.2401096,51.42845579,112.017933,22.4412257
2300,91.900903,279.2671606,46.59008253,98.43054768,20.31319686