Source: https://github.com/rffscghg/MimiIWG.jl/: MimiIWG/data/IWG_inputs/DICE/CH4N20emissions_annualversion.xls in CH4annual Tab Units of MtCH4,,,,,
Year,IMAGE,MERGE,MESSAGE,MiniCAM,Scen5
2005,354.7073,304.0534836,252.955,299.3965267,297.9773276
2006,359.18986,307.5814182,255.086,302.2665386,300.2700542
2007,363.67242,311.1093528,257.217,305.1365505,302.5627808
2008,368.15498,314.6372874,259.348,308.0065624,304.8555074
2009,372.63754,318.1652219,261.479,310.8765744,307.1482341
2010,377.1201,321.6931565,263.61,313.7465863,309.4409607
2011,381.76665,324.4559497,267.971,318.3671181,309.4175082
2012,386.4132,327.218743,272.332,322.9876499,309.3940556
2013,391.05975,329.9815362,276.693,327.6081817,309.3706031
2014,395.7063,332.7443294,281.054,332.2287134,309.3471506
2015,400.35285,335.5071226,285.415,336.8492452,309.3236981
2016,404.9994,338.2699159,289.776,341.469777,309.3002455
2017,409.64595,341.0327091,294.137,346.0903088,309.276793
2018,414.2925,343.7955023,298.498,350.7108406,309.2533405
2019,418.93905,346.5582955,302.859,355.3313724,309.229888
2020,423.5856,349.3210888,307.22,359.9519042,309.2064354
2021,426.91191,351.4006625,312.947,362.9496048,309.1407505
2022,430.23822,353.4802362,318.674,365.9473054,309.0750655
2023,433.56453,355.5598099,324.401,368.945006,309.0093805
2024,436.89084,357.6393836,330.128,371.9427066,308.9436955
2025,440.21715,359.7189573,335.855,374.9404072,308.8780105
2026,443.54346,361.7985311,341.582,377.9381078,308.8123255
2027,446.86977,363.8781048,347.309,380.9358084,308.7466405
2028,450.19608,365.9576785,353.036,383.933509,308.6809555
2029,453.52239,368.0372522,358.763,386.9312096,308.6152706
2030,456.8487,370.1168259,364.49,389.9289102,308.5495856
2031,459.18988,371.6476918,371.002,392.439053,306.5927643
2032,461.53106,373.1785576,377.514,394.9491958,304.6359431
2033,463.87224,374.7094235,384.026,397.4593385,302.6791218
2034,466.21342,376.2402893,390.538,399.9694813,300.7223006
2035,468.5546,377.7711552,397.05,402.479624,298.7654793
2036,470.89578,379.3020211,403.562,404.9897668,296.8086581
2037,473.23696,380.8328869,410.074,407.4999095,294.8518368
2038,475.57814,382.3637528,416.586,410.0100523,292.8950156
2039,477.91932,383.8946186,423.098,412.5201951,290.9381943
2040,480.2605,385.4254845,429.61,415.0303378,288.9813731
2041,481.67701,386.0333445,434.124,417.0529227,287.1253288
2042,483.09352,386.6412046,438.638,419.0755077,285.2692845
2043,484.51003,387.2490647,443.152,421.0980926,283.4132401
2044,485.92654,387.8569248,447.666,423.1206775,281.5571958
2045,487.34305,388.4647848,452.18,425.1432624,279.7011515
2046,488.75956,389.0726449,456.694,427.1658473,277.8451072
2047,490.17607,389.680505,461.208,429.1884322,275.9890629
2048,491.59258,390.288365,465.722,431.2110171,274.1330186
2049,493.00909,390.8962251,470.236,433.2336021,272.2769742
2050,494.4256,391.5040852,474.75,435.256187,270.4209299
2051,495.41253,394.8991352,476.151,436.0725657,270.4025895
2052,496.39946,398.2941852,477.552,436.8889445,270.3842492
2053,497.38639,401.6892352,478.953,437.7053233,270.3659088
2054,498.37332,405.0842852,480.354,438.5217021,270.3475684
2055,499.36025,408.4793352,481.755,439.3380809,270.329228
2056,500.34718,411.8743852,483.156,440.1544596,270.3108876
2057,501.33411,415.2694352,484.557,440.9708384,270.2925472
2058,502.32104,418.6644851,485.958,441.7872172,270.2742068
2059,503.30797,422.0595351,487.359,442.603596,270.2558665
2060,504.2949,425.4545851,488.76,443.4199748,270.2375261
2061,506.29758,428.8344055,488.401,443.7029425,269.9513126
2062,508.30026,432.2142259,488.042,443.9859102,269.6650991
2063,510.30294,435.5940463,487.683,444.2688779,269.3788857
2064,512.30562,438.9738667,487.324,444.5518457,269.0926722
2065,514.3083,442.353687,486.965,444.8348134,268.8064588
2066,516.31098,445.7335074,486.606,445.1177811,268.5202453
2067,518.31366,449.1133278,486.247,445.4007488,268.2340318
2068,520.31634,452.4931482,485.888,445.6837165,267.9478184
2069,522.31902,455.8729686,485.529,445.9666843,267.6616049
2070,524.3217,459.2527889,485.17,446.249652,267.3753915
2071,527.64004,462.4817261,485.502,445.9992087,267.0510665
2072,530.95838,465.7106633,485.834,445.7487653,266.7267415
2073,534.27672,468.9396004,486.166,445.498322,266.4024165
2074,537.59506,472.1685376,486.498,445.2478787,266.0780915
2075,540.9134,475.3974747,486.83,444.9974353,265.7537665
2076,544.23174,478.6264119,487.162,444.746992,265.4294415
2077,547.55008,481.855349,487.494,444.4965487,265.1051165
2078,550.86842,485.0842862,487.826,444.2461053,264.7807915
2079,554.18676,488.3132233,488.158,443.995662,264.4564665
2080,557.5051,491.5421605,488.49,443.7452186,264.1321415
2081,560.9739,494.5620155,488.639,443.9325373,264.1863758
2082,564.4427,497.5818705,488.788,444.1198559,264.2406101
2083,567.9115,500.6017255,488.937,444.3071745,264.2948444
2084,571.3803,503.6215805,489.086,444.4944931,264.3490787
2085,574.8491,506.6414355,489.235,444.6818117,264.403313
2086,578.3179,509.6612905,489.384,444.8691303,264.4575473
2087,581.7867,512.6811454,489.533,445.0564489,264.5117816
2088,585.2555,515.7010004,489.682,445.2437675,264.5660159
2089,588.7243,518.7208554,489.831,445.4310861,264.6202502
2090,592.1931,521.7407104,489.98,445.6184047,264.6744845
2091,594.69851,524.5691324,489.64,445.8057233,264.9310599
2092,597.20392,527.3975544,489.3,445.993042,265.1876353
2093,599.70933,530.2259764,488.96,446.1803606,265.4442106
2094,602.21474,533.0543984,488.62,446.3676792,265.700786
2095,604.72015,535.8828205,488.28,446.5549978,265.9573614
2096,607.22556,538.7112425,487.94,446.7423164,266.2139368
2097,609.73097,541.5396645,487.6,446.929635,266.4705122
2098,612.23638,544.3680865,487.26,447.1169536,266.7270876
2099,614.74179,547.1965085,486.92,447.3042722,266.983663
2100,617.2472,550.0249305,486.58,447.4915908,267.2402384
2101,614.2012527,546.8039987,486.6382989,447.2865558,267.1328127
2102,611.1553055,543.583067,486.6965979,447.0815209,267.0253871
2103,608.1093582,540.3621353,486.7548968,446.8764859,266.9179614
2104,605.0634109,537.1412035,486.8131957,446.6714509,266.8105358
2105,602.0174636,533.9202718,486.8714947,446.4664159,266.7031101
2106,598.9715164,530.69934,486.9297936,446.2613809,266.5956845
2107,595.9255691,527.4784083,486.9880925,446.056346,266.4882588
2108,592.8796218,524.2574765,487.0463915,445.851311,266.3808332
2109,589.8336746,521.0365448,487.1046904,445.646276,266.2734075
2110,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2111,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2112,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2113,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2114,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2115,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2116,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2117,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2118,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2119,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2120,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2121,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2122,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2123,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2124,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2125,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2126,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2127,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2128,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2129,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2130,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2131,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2132,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2133,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2134,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2135,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2136,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2137,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2138,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2139,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2140,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2141,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2142,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2143,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2144,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2145,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2146,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2147,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2148,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2149,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2150,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2151,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2152,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2153,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2154,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2155,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2156,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2157,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2158,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2159,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2160,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2161,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2162,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2163,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2164,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2165,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2166,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2167,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2168,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2169,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2170,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2171,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2172,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2173,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2174,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2175,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2176,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2177,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2178,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2179,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2180,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2181,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2182,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2183,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2184,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2185,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2186,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2187,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2188,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2189,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2190,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2191,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2192,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2193,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2194,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2195,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2196,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2197,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2198,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2199,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2200,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2201,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2202,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2203,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2204,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2205,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2206,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2207,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2208,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2209,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2210,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2211,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2212,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2213,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2214,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2215,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2216,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2217,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2218,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2219,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2220,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2221,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2222,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2223,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2224,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2225,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2226,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2227,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2228,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2229,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2230,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2231,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2232,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2233,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2234,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2235,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2236,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2237,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2238,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2239,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2240,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2241,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2242,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2243,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2244,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2245,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2246,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2247,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2248,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2249,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2250,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2251,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2252,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2253,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2254,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2255,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2256,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2257,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2258,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2259,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2260,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2261,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2262,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2263,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2264,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2265,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2266,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2267,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2268,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2269,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2270,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2271,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2272,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2273,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2274,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2275,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2276,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2277,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2278,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2279,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2280,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2281,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2282,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2283,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2284,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2285,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2286,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2287,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2288,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2289,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2290,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2291,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2292,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2293,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2294,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2295,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2296,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2297,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2298,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2299,586.7877273,517.8156131,487.1629893,445.441241,266.1659819
2300,586.7877273,517.8156131,487.1629893,445.441241,266.1659819